primary_city,state,county
Holtsville,NY,Suffolk
Adjuntas,PR,Adjuntas Municipio
Aguada,PR,Aguada Municipio
Aguadilla,PR,Aguadilla Municipio
Maricao,PR,Maricao Municipio
Anasco,PR,Anasco Municipio
Angeles,PR,Utuado Municipio
Arecibo,PR,Arecibo Municipio
Bajadero,PR,Arecibo Municipio
Barceloneta,PR,Barceloneta Municipio
Boqueron,PR,Cabo Rojo Municipio
Cabo Rojo,PR,Cabo Rojo Municipio
Penuelas,PR,Penuelas Municipio
Camuy,PR,Camuy Municipio
Castaner,PR,Lares Municipio
Rosario,PR,San German Municipio
Sabana Grande,PR,Sabana Grande Municipio
Ciales,PR,Ciales Municipio
Utuado,PR,Utuado Municipio
Dorado,PR,Dorado Municipio
Ensenada,PR,Guanica Municipio
Florida,PR,Florida Municipio
Garrochales,PR,Arecibo Municipio
Guanica,PR,Guanica Municipio
Guayanilla,PR,Guayanilla Municipio
Hatillo,PR,Hatillo Municipio
Hormigueros,PR,Hormigueros Municipio
Isabela,PR,Isabela Municipio
Jayuya,PR,Jayuya Municipio
Lajas,PR,Lajas Municipio
Lares,PR,Lares Municipio
Las Marias,PR,Las Marias Municipio
Manati,PR,Manati Municipio
Moca,PR,Moca Municipio
Rincon,PR,Rincon Municipio
Quebradillas,PR,Quebradillas Municipio
Mayaguez,PR,Mayaguez Municipio
San German,PR,San German Municipio
San Sebastian,PR,San Sebastian Municipio
Morovis,PR,Morovis Municipio
Sabana Hoyos,PR,Arecibo Municipio
San Antonio,PR,Aguadilla Municipio
Vega Alta,PR,Vega Alta Municipio
Vega Baja,PR,Vega Baja Municipio
Yauco,PR,Yauco Municipio
Aguas Buenas,PR,Aguas Buenas Municipio
Aguirre,PR,Salinas Municipio
Aibonito,PR,Aibonito Municipio
Maunabo,PR,Maunabo Municipio
Arroyo,PR,Arroyo Municipio
Mercedita,PR,Ponce Municipio
Ponce,PR,Ponce Municipio
Naguabo,PR,Naguabo Municipio
Naranjito,PR,Naranjito Municipio
Orocovis,PR,Orocovis Municipio
Palmer,PR,
Patillas,PR,Patillas Municipio
Caguas,PR,Caguas Municipio
Canovanas,PR,Canovanas Municipio
Ceiba,PR,Ceiba Municipio
Cayey,PR,Cayey Municipio
Fajardo,PR,Fajardo Municipio
Cidra,PR,Cidra Municipio
Puerto Real,PR,Fajardo Municipio
Punta Santiago,PR,Humacao Municipio
Roosevelt Roads,PR,
Rio Blanco,PR,
Rio Grande,PR,Rio Grande Municipio
Salinas,PR,Salinas Municipio
San Lorenzo,PR,San Lorenzo Municipio
Santa Isabel,PR,Santa Isabel Municipio
Vieques,PR,Vieques Municipio
Villalba,PR,Villalba Municipio
Yabucoa,PR,Yabucoa Municipio
Coamo,PR,Coamo Municipio
Las Piedras,PR,Las Piedras Municipio
Loiza,PR,Loiza Municipio
Luquillo,PR,Luquillo Municipio
Culebra,PR,Culebra Municipio
Juncos,PR,Juncos Municipio
Gurabo,PR,Gurabo Municipio
Coto Laurel,PR,Ponce Municipio
Comerio,PR,Comerio Municipio
Corozal,PR,Corozal Municipio
Guayama,PR,Guayama Municipio
La Plata,PR,Aibonito Municipio
Humacao,PR,Humacao Municipio
Barranquitas,PR,Barranquitas Municipio
Juana Diaz,PR,Juana Diaz Municipio
St Thomas,VI,
Christiansted,VI,
St John,VI,
Frederiksted,VI,
Kingshill,VI,
San Juan,PR,San Juan Municipio
Fort Buchanan,PR,Guaynabo Municipio
Toa Baja,PR,Toa Baja Municipio
Sabana Seca,PR,Toa Baja Municipio
Toa Alta,PR,Toa Alta Municipio
Bayamon,PR,Bayamon Municipio
Catano,PR,Catano Municipio
Guaynabo,PR,Guaynabo Municipio
Trujillo Alto,PR,Trujillo Alto Municipio
Saint Just,PR,San Juan
Carolina,PR,Carolina Municipio
Agawam,MA,Hampden
Amherst,MA,Hampshire
Barre,MA,Worcester
Belchertown,MA,Hampshire
Blandford,MA,Hampden
Bondsville,MA,Hampden
Brimfield,MA,Hampden
Chester,MA,Hampden
Chesterfield,MA,Hampshire
Chicopee,MA,Hampden
Cummington,MA,Hampshire
Easthampton,MA,Hampshire
East Longmeadow,MA,Hampden
East Otis,MA,Berkshire
Feeding Hills,MA,Hampden
Gilbertville,MA,Worcester
Goshen,MA,Hampshire
Granby,MA,Hampshire
Granville,MA,Hampden
Hadley,MA,Hampshire
Hampden,MA,Hampden
Hardwick,MA,Worcester
Hatfield,MA,Hampshire
Haydenville,MA,Hampshire
Holyoke,MA,Hampden
Huntington,MA,Hampshire
Leeds,MA,Hampshire
