st_abb,st_code,county_name,month,tavg_f
AL,1,Autauga,1,45.4
AL,1,Autauga,2,49.4
AL,1,Autauga,3,56.8
AL,1,Autauga,4,63.8
AL,1,Autauga,5,72.0
AL,1,Autauga,6,78.7
AL,1,Autauga,7,81.3
AL,1,Autauga,8,80.9
AL,1,Autauga,9,75.6
AL,1,Autauga,10,65.3
AL,1,Autauga,11,55.8
AL,1,Autauga,12,47.6
AL,1,Baldwin,1,49.9
AL,1,Baldwin,2,53.1
AL,1,Baldwin,3,59.3
AL,1,Baldwin,4,65.8
AL,1,Baldwin,5,73.5
AL,1,Baldwin,6,79.6
AL,1,Baldwin,7,81.6
AL,1,Baldwin,8,81.4
AL,1,Baldwin,9,77.3
AL,1,Baldwin,10,68.1
AL,1,Baldwin,11,59.6
AL,1,Baldwin,12,52.3
AL,1,Barbour,1,46.6
AL,1,Barbour,2,50.5
AL,1,Barbour,3,57.2
AL,1,Barbour,4,63.8
AL,1,Barbour,5,71.9
AL,1,Barbour,6,78.5
AL,1,Barbour,7,80.8
AL,1,Barbour,8,80.1
AL,1,Barbour,9,75.2
AL,1,Barbour,10,65.6
AL,1,Barbour,11,56.8
AL,1,Barbour,12,49.0
AL,1,Bibb,1,43.3
AL,1,Bibb,2,47.2
AL,1,Bibb,3,54.8
AL,1,Bibb,4,62.2
AL,1,Bibb,5,70.4
AL,1,Bibb,6,77.5
AL,1,Bibb,7,80.3
AL,1,Bibb,8,80.0
AL,1,Bibb,9,74.2
AL,1,Bibb,10,63.4
AL,1,Bibb,11,53.8
AL,1,Bibb,12,45.7
AL,1,Blount,1,40.6
AL,1,Blount,2,44.4
AL,1,Blount,3,52.1
AL,1,Blount,4,60.0
AL,1,Blount,5,68.2
AL,1,Blount,6,75.6
AL,1,Blount,7,78.9
AL,1,Blount,8,78.4
AL,1,Blount,9,72.1
AL,1,Blount,10,61.2
AL,1,Blount,11,51.9
AL,1,Blount,12,43.1
AL,1,Bullock,1,45.6
AL,1,Bullock,2,49.4
AL,1,Bullock,3,56.3
AL,1,Bullock,4,62.9
AL,1,Bullock,5,71.2
AL,1,Bullock,6,78.1
AL,1,Bullock,7,80.7
AL,1,Bullock,8,80.2
AL,1,Bullock,9,75.0
AL,1,Bullock,10,64.8
AL,1,Bullock,11,55.7
AL,1,Bullock,12,47.9
AL,1,Butler,1,46.2
AL,1,Butler,2,49.8
AL,1,Butler,3,56.8
AL,1,Butler,4,63.4
AL,1,Butler,5,71.5
AL,1,Butler,6,78.0
AL,1,Butler,7,80.3
AL,1,Butler,8,79.9
AL,1,Butler,9,75.6
AL,1,Butler,10,65.3
AL,1,Butler,11,56.3
AL,1,Butler,12,48.2
AL,1,Calhoun,1,41.1
AL,1,Calhoun,2,44.9
AL,1,Calhoun,3,52.5
AL,1,Calhoun,4,60.2
AL,1,Calhoun,5,68.4
AL,1,Calhoun,6,75.8
AL,1,Calhoun,7,79.1
AL,1,Calhoun,8,78.6
AL,1,Calhoun,9,72.4
AL,1,Calhoun,10,61.5
AL,1,Calhoun,11,52.1
AL,1,Calhoun,12,43.6
AL,1,Chambers,1,42.8
AL,1,Chambers,2,46.6
AL,1,Chambers,3,53.8
AL,1,Chambers,4,60.9
AL,1,Chambers,5,69.1
AL,1,Chambers,6,76.2
AL,1,Chambers,7,79.2
AL,1,Chambers,8,78.6
AL,1,Chambers,9,72.7
AL,1,Chambers,10,62.3
AL,1,Chambers,11,53.4
AL,1,Chambers,12,45.2
AL,1,Cherokee,1,39.7
AL,1,Cherokee,2,43.7
AL,1,Cherokee,3,51.4
AL,1,Cherokee,4,59.1
AL,1,Cherokee,5,67.5
AL,1,Cherokee,6,75.3
AL,1,Cherokee,7,78.8
AL,1,Cherokee,8,78.1
AL,1,Cherokee,9,71.7
AL,1,Cherokee,10,60.8
AL,1,Cherokee,11,50.9
AL,1,Cherokee,12,42.2
AL,1,Chilton,1,43.6
AL,1,Chilton,2,47.6
AL,1,Chilton,3,55.1
AL,1,Chilton,4,62.2
AL,1,Chilton,5,70.3
AL,1,Chilton,6,77.1
AL,1,Chilton,7,80.1
AL,1,Chilton,8,79.5
AL,1,Chilton,9,73.9
AL,1,Chilton,10,63.6
AL,1,Chilton,11,54.1
AL,1,Chilton,12,46.0
AL,1,Choctaw,1,45.7
AL,1,Choctaw,2,49.4
AL,1,Choctaw,3,56.6
AL,1,Choctaw,4,63.7
AL,1,Choctaw,5,71.8
AL,1,Choctaw,6,78.4
AL,1,Choctaw,7,81.1
AL,1,Choctaw,8,80.7
AL,1,Choctaw,9,75.2
AL,1,Choctaw,10,64.5
AL,1,Choctaw,11,55.5
AL,1,Choctaw,12,47.5
AL,1,Clarke,1,46.6
AL,1,Clarke,2,50.5
AL,1,Clarke,3,57.4
AL,1,Clarke,4,64.2
AL,1,Clarke,5,72.1
AL,1,Clarke,6,78.5
AL,1,Clarke,7,81.0
AL,1,Clarke,8,80.5
AL,1,Clarke,9,75.5
AL,1,Clarke,10,65.4
AL,1,Clarke,11,56.4
AL,1,Clarke,12,48.6
AL,1,Clay,1,41.6
AL,1,Clay,2,45.5
AL,1,Clay,3,52.7
AL,1,Clay,4,59.6
AL,1,Clay,5,67.5
AL,1,Clay,6,74.8
AL,1,Clay,7,78.0
AL,1,Clay,8,77.5
AL,1,Clay,9,71.3
AL,1,Clay,10,61.1
AL,1,Clay,11,52.3
AL,1,Clay,12,44.2
AL,1,Cleburne,1,40.8
AL,1,Cleburne,2,44.5
AL,1,Cleburne,3,51.6
AL,1,Cleburne,4,58.8
AL,1,Cleburne,5,66.6
AL,1,Cleburne,6,74.2
AL,1,Cleburne,7,77.4
AL,1,Cleburne,8,76.7
AL,1,Cleburne,9,70.5
AL,1,Cleburne,10,60.1
AL,1,Cleburne,11,51.3
AL,1,Cleburne,12,43.2
AL,1,Coffee,1,47.7
AL,1,Coffee,2,51.6
AL,1,Coffee,3,58.5
AL,1,Coffee,4,64.7
AL,1,Coffee,5,72.7
AL,1,Coffee,6,79.2
AL,1,Coffee,7,81.2
AL,1,Coffee,8,80.6
AL,1,Coffee,9,76.2
AL,1,Coffee,10,66.5
AL,1,Coffee,11,57.8
AL,1,Coffee,12,50.2
AL,1,Colbert,1,39.6
AL,1,Colbert,2,43.6
AL,1,Colbert,3,51.8
AL,1,Colbert,4,60.3
AL,1,Colbert,5,68.5
AL,1,Colbert,6,76.0
AL,1,Colbert,7,79.4
AL,1,Colbert,8,78.8
AL,1,Colbert,9,72.2
AL,1,Colbert,10,61.0
AL,1,Colbert,11,51.3
AL,1,Colbert,12,42.3
AL,1,Conecuh,1,47.1
AL,1,Conecuh,2,50.8
AL,1,Conecuh,3,57.7
AL,1,Conecuh,4,64.1
AL,1,Conecuh,5,72.1
AL,1,Conecuh,6,78.5
AL,1,Conecuh,7,80.4
AL,1,Conecuh,8,80.1
AL,1,Conecuh,9,75.6
AL,1,Conecuh,10,65.8
AL,1,Conecuh,11,57.0
AL,1,Conecuh,12,49.4
AL,1,Coosa,1,43.1
AL,1,Coosa,2,47.0
AL,1,Coosa,3,54.3
AL,1,Coosa,4,61.4
AL,1,Coosa,5,69.5
AL,1,Coosa,6,76.5
AL,1,Coosa,7,79.6
AL,1,Coosa,8,78.9
AL,1,Coosa,9,73.2
AL,1,Coosa,10,62.7
AL,1,Coosa,11,53.7
AL,1,Coosa,12,45.6
AL,1,Covington,1,47.9
AL,1,Covington,2,51.5
AL,1,Covington,3,58.5
AL,1,Covington,4,64.7
AL,1,Covington,5,72.5
AL,1,Covington,6,79.2
AL,1,Covington,7,81.1
AL,1,Covington,8,80.8
AL,1,Covington,9,76.3
AL,1,Covington,10,66.4
AL,1,Covington,11,57.9
AL,1,Covington,12,50.5
AL,1,Crenshaw,1,46.2
AL,1,Crenshaw,2,49.9
AL,1,Crenshaw,3,57.0
AL,1,Crenshaw,4,63.3
AL,1,Crenshaw,5,71.5
AL,1,Crenshaw,6,78.1
AL,1,Crenshaw,7,80.5
AL,1,Crenshaw,8,80.0
AL,1,Crenshaw,9,75.3
AL,1,Crenshaw,10,65.1
AL,1,Crenshaw,11,56.2
AL,1,Crenshaw,12,48.6
AL,1,Cullman,1,40.1
AL,1,Cullman,2,43.6
AL,1,Cullman,3,51.2
AL,1,Cullman,4,59.2
AL,1,Cullman,5,67.5
AL,1,Cullman,6,74.8
AL,1,Cullman,7,78.3
AL,1,Cullman,8,77.8
AL,1,Cullman,9,71.5
AL,1,Cullman,10,60.5
AL,1,Cullman,11,51.4
AL,1,Cullman,12,42.6
AL,1,Dale,1,48.0
AL,1,Dale,2,51.9
AL,1,Dale,3,58.6
AL,1,Dale,4,65.3
AL,1,Dale,5,73.4
AL,1,Dale,6,79.6
AL,1,Dale,7,81.5
AL,1,Dale,8,80.8
AL,1,Dale,9,76.4
AL,1,Dale,10,67.1
AL,1,Dale,11,58.1
AL,1,Dale,12,50.4
AL,1,Dallas,1,45.4
AL,1,Dallas,2,49.3
AL,1,Dallas,3,56.7
AL,1,Dallas,4,63.6
AL,1,Dallas,5,71.9
AL,1,Dallas,6,78.6
AL,1,Dallas,7,81.2
AL,1,Dallas,8,80.8
AL,1,Dallas,9,75.4
AL,1,Dallas,10,65.0
AL,1,Dallas,11,55.6
AL,1,Dallas,12,47.5
AL,1,DeKalb,1,38.6
AL,1,DeKalb,2,42.4
AL,1,DeKalb,3,50.0
AL,1,DeKalb,4,57.7
AL,1,DeKalb,5,65.9
AL,1,DeKalb,6,73.4
AL,1,DeKalb,7,76.8
AL,1,DeKalb,8,76.3
AL,1,DeKalb,9,69.8
AL,1,DeKalb,10,59.3
AL,1,DeKalb,11,50.2
AL,1,DeKalb,12,41.1
AL,1,Elmore,1,45.1
AL,1,Elmore,2,49.1
AL,1,Elmore,3,56.2
AL,1,Elmore,4,63.2
AL,1,Elmore,5,71.5
AL,1,Elmore,6,78.4
AL,1,Elmore,7,81.0
AL,1,Elmore,8,80.6
AL,1,Elmore,9,75.2
AL,1,Elmore,10,64.9
AL,1,Elmore,11,55.6
AL,1,Elmore,12,47.4
AL,1,Escambia,1,48.2
AL,1,Escambia,2,51.9
AL,1,Escambia,3,58.5
AL,1,Escambia,4,65.0
AL,1,Escambia,5,72.8
AL,1,Escambia,6,79.0
AL,1,Escambia,7,80.9
AL,1,Escambia,8,80.6
AL,1,Escambia,9,76.2
AL,1,Escambia,10,66.7
AL,1,Escambia,11,58.0
AL,1,Escambia,12,50.5
AL,1,Etowah,1,40.3
AL,1,Etowah,2,44.2
AL,1,Etowah,3,51.9
AL,1,Etowah,4,59.9
AL,1,Etowah,5,68.2
AL,1,Etowah,6,75.7
AL,1,Etowah,7,79.1
AL,1,Etowah,8,78.5
AL,1,Etowah,9,72.2
AL,1,Etowah,10,61.3
AL,1,Etowah,11,51.7
AL,1,Etowah,12,42.8
AL,1,Fayette,1,40.8
AL,1,Fayette,2,44.8
AL,1,Fayette,3,52.6
AL,1,Fayette,4,60.1
AL,1,Fayette,5,68.5
AL,1,Fayette,6,75.9
AL,1,Fayette,7,79.4
AL,1,Fayette,8,79.0
AL,1,Fayette,9,72.5
AL,1,Fayette,10,61.3
AL,1,Fayette,11,51.9
AL,1,Fayette,12,43.4
AL,1,Franklin,1,39.3
AL,1,Franklin,2,43.5
AL,1,Franklin,3,51.5
AL,1,Franklin,4,59.8
AL,1,Franklin,5,67.8
AL,1,Franklin,6,75.2
AL,1,Franklin,7,78.7
AL,1,Franklin,8,78.3
AL,1,Franklin,9,71.8
AL,1,Franklin,10,60.8
AL,1,Franklin,11,51.1
AL,1,Franklin,12,42.0
AL,1,Geneva,1,48.2
AL,1,Geneva,2,52.1
AL,1,Geneva,3,58.7
AL,1,Geneva,4,65.1
AL,1,Geneva,5,73.1
AL,1,Geneva,6,79.3
AL,1,Geneva,7,81.3
AL,1,Geneva,8,80.7
AL,1,Geneva,9,76.3
AL,1,Geneva,10,66.9
AL,1,Geneva,11,58.1
AL,1,Geneva,12,50.5
AL,1,Greene,1,43.9
AL,1,Greene,2,47.9
AL,1,Greene,3,55.5
AL,1,Greene,4,62.9
AL,1,Greene,5,71.3
AL,1,Greene,6,78.2
AL,1,Greene,7,81.1
AL,1,Greene,8,80.7
AL,1,Greene,9,74.9
AL,1,Greene,10,64.0
AL,1,Greene,11,54.5
AL,1,Greene,12,46.3
AL,1,Hale,1,44.6
AL,1,Hale,2,48.6
AL,1,Hale,3,56.0
AL,1,Hale,4,63.3
AL,1,Hale,5,71.6
AL,1,Hale,6,78.4
AL,1,Hale,7,81.2
AL,1,Hale,8,80.8
AL,1,Hale,9,75.2
AL,1,Hale,10,64.5
AL,1,Hale,11,55.0
AL,1,Hale,12,46.9
AL,1,Henry,1,47.8
AL,1,Henry,2,51.8
AL,1,Henry,3,58.4
AL,1,Henry,4,65.1
AL,1,Henry,5,73.3
AL,1,Henry,6,79.5
AL,1,Henry,7,81.3
AL,1,Henry,8,80.7
AL,1,Henry,9,76.2
AL,1,Henry,10,66.9
AL,1,Henry,11,58.0
AL,1,Henry,12,50.3
AL,1,Houston,1,48.8
AL,1,Houston,2,52.7
AL,1,Houston,3,59.3
AL,1,Houston,4,65.9
AL,1,Houston,5,74.3
AL,1,Houston,6,80.2
AL,1,Houston,7,82.0
AL,1,Houston,8,81.4
AL,1,Houston,9,77.1
AL,1,Houston,10,67.8
AL,1,Houston,11,58.9
AL,1,Houston,12,51.3
AL,1,Jackson,1,38.4
AL,1,Jackson,2,42.2
AL,1,Jackson,3,49.9
AL,1,Jackson,4,57.9
AL,1,Jackson,5,66.2
AL,1,Jackson,6,73.8
AL,1,Jackson,7,77.2
AL,1,Jackson,8,76.7
AL,1,Jackson,9,70.1
AL,1,Jackson,10,59.3
AL,1,Jackson,11,49.9
AL,1,Jackson,12,41.0
AL,1,Jefferson,1,42.2
AL,1,Jefferson,2,46.0
AL,1,Jefferson,3,53.7
AL,1,Jefferson,4,61.3
AL,1,Jefferson,5,69.4
AL,1,Jefferson,6,76.6
AL,1,Jefferson,7,79.9
AL,1,Jefferson,8,79.6
AL,1,Jefferson,9,73.6
AL,1,Jefferson,10,62.6
AL,1,Jefferson,11,53.3
AL,1,Jefferson,12,44.6
AL,1,Lamar,1,40.7
AL,1,Lamar,2,44.9
AL,1,Lamar,3,52.7
AL,1,Lamar,4,60.4
AL,1,Lamar,5,69.1
AL,1,Lamar,6,76.4
AL,1,Lamar,7,79.8
AL,1,Lamar,8,79.4
AL,1,Lamar,9,72.9
AL,1,Lamar,10,61.6
AL,1,Lamar,11,52.1
AL,1,Lamar,12,43.4
AL,1,Lauderdale,1,39.0
AL,1,Lauderdale,2,43.1
AL,1,Lauderdale,3,51.2
AL,1,Lauderdale,4,59.7
AL,1,Lauderdale,5,67.7
AL,1,Lauderdale,6,75.3
AL,1,Lauderdale,7,78.7
AL,1,Lauderdale,8,78.1
AL,1,Lauderdale,9,71.6
AL,1,Lauderdale,10,60.3
AL,1,Lauderdale,11,50.7
AL,1,Lauderdale,12,41.7
AL,1,Lawrence,1,39.9
AL,1,Lawrence,2,43.8
AL,1,Lawrence,3,51.8
AL,1,Lawrence,4,60.2
AL,1,Lawrence,5,68.5
AL,1,Lawrence,6,75.7
AL,1,Lawrence,7,79.0
AL,1,Lawrence,8,78.5
AL,1,Lawrence,9,72.2
AL,1,Lawrence,10,61.0
AL,1,Lawrence,11,51.4
AL,1,Lawrence,12,42.5
AL,1,Lee,1,44.3
AL,1,Lee,2,48.1
AL,1,Lee,3,55.2
AL,1,Lee,4,62.1
AL,1,Lee,5,70.4
AL,1,Lee,6,77.4
AL,1,Lee,7,80.2
AL,1,Lee,8,79.7
AL,1,Lee,9,74.2
AL,1,Lee,10,64.1
AL,1,Lee,11,55.0
AL,1,Lee,12,46.8
AL,1,Limestone,1,38.9
AL,1,Limestone,2,42.8
AL,1,Limestone,3,50.9
AL,1,Limestone,4,59.5
AL,1,Limestone,5,67.9
AL,1,Limestone,6,75.5
AL,1,Limestone,7,78.7
AL,1,Limestone,8,78.1
AL,1,Limestone,9,71.5
AL,1,Limestone,10,60.3
AL,1,Limestone,11,50.6
AL,1,Limestone,12,41.6
AL,1,Lowndes,1,45.8
AL,1,Lowndes,2,49.8
AL,1,Lowndes,3,57.1
AL,1,Lowndes,4,64.0
AL,1,Lowndes,5,72.3
AL,1,Lowndes,6,79.0
AL,1,Lowndes,7,81.5
AL,1,Lowndes,8,81.2
AL,1,Lowndes,9,76.1
AL,1,Lowndes,10,65.7
AL,1,Lowndes,11,56.2
AL,1,Lowndes,12,48.0
AL,1,Macon,1,45.2
AL,1,Macon,2,48.9
AL,1,Macon,3,55.9
AL,1,Macon,4,62.6
AL,1,Macon,5,71.0
AL,1,Macon,6,78.0
AL,1,Macon,7,80.7
AL,1,Macon,8,80.2
AL,1,Macon,9,74.9
AL,1,Macon,10,64.5
AL,1,Macon,11,55.3
AL,1,Macon,12,47.6
AL,1,Madison,1,38.7
AL,1,Madison,2,42.7
AL,1,Madison,3,50.5
AL,1,Madison,4,59.0
AL,1,Madison,5,67.5
AL,1,Madison,6,75.2
AL,1,Madison,7,78.5
AL,1,Madison,8,77.7
AL,1,Madison,9,71.1
AL,1,Madison,10,60.0
AL,1,Madison,11,50.4
AL,1,Madison,12,41.5
AL,1,Marengo,1,45.0
AL,1,Marengo,2,48.9
AL,1,Marengo,3,56.3
AL,1,Marengo,4,63.5
AL,1,Marengo,5,71.8
AL,1,Marengo,6,78.5
AL,1,Marengo,7,81.1
AL,1,Marengo,8,80.7
AL,1,Marengo,9,75.2
AL,1,Marengo,10,64.6
AL,1,Marengo,11,55.2
AL,1,Marengo,12,47.2
AL,1,Marion,1,39.2
AL,1,Marion,2,43.5
AL,1,Marion,3,51.5
AL,1,Marion,4,59.6
AL,1,Marion,5,67.8
AL,1,Marion,6,75.2
AL,1,Marion,7,78.7
AL,1,Marion,8,78.4
AL,1,Marion,9,71.8
AL,1,Marion,10,60.8
AL,1,Marion,11,51.0
AL,1,Marion,12,42.0
AL,1,Marshall,1,40.3
AL,1,Marshall,2,43.9
AL,1,Marshall,3,51.8
AL,1,Marshall,4,59.8
AL,1,Marshall,5,68.2
AL,1,Marshall,6,75.5
AL,1,Marshall,7,78.7
AL,1,Marshall,8,78.3
AL,1,Marshall,9,71.8
AL,1,Marshall,10,61.1
AL,1,Marshall,11,51.7
AL,1,Marshall,12,42.7
AL,1,Mobile,1,49.3
AL,1,Mobile,2,52.6
AL,1,Mobile,3,59.2
AL,1,Mobile,4,65.9
AL,1,Mobile,5,73.4
AL,1,Mobile,6,79.3
AL,1,Mobile,7,81.3
AL,1,Mobile,8,81.2
AL,1,Mobile,9,77.0
